actor_name,actor_slug
Чхве Джэ Хён,chkhve-dzhe-khion
Сьерра Ли,serra-li
Сян Хао,sian-khao
Яя Урассая Спербунд,iaia-urassaia-sperbund
О Сын Юн,o-syn-iun
Янь Си,ian-si
Юн Джон Хан,iun-dzhon-khan
Соль Джон Хван,sol-dzhon-khvan
Вань Цянь,van-tsian
Ван Ян,van-ian
Хэ Нань,khe-nan
Ден Чао Юань,den-chao-iuan
Лю И Чан,liu-i-chan
Чжао Лу Сы,chzhao-lu-sy
Той Тчаринпон Тчункиат,toi-tcharinpon-tchunkiat
Ни Ни,ni-ni
Комацу Нана,komatsu-nana
Нича Наттанича Данваттаванит,nicha-nattanicha-danvattavanit
Гуань Сяо Тун,guan-siao-tun
Ли И Гён,li-i-gion
Го Вон Хи,go-von-khi
Го Цзя Нань,go-tszia-nan
Сон Хо Джун,son-kho-dzhun
Хан Со Ын,khan-so-yn
Гон Сын Ён,gon-syn-ion
Рю Хва Ён,riu-khva-ion
Ким Ю Ми,kim-iu-mi
Тьютор Корапат Ламной,tiutor-korapat-lamnoi
Вэй Цянь Сян,vei-tsian-sian
Чхве Бён Мо,chkhve-bion-mo
Ё Чжин Гу,io-chzhin-gu
У Сюань И,u-siuan-i
Чхве Мин Хо,chkhve-min-kho
Чэнь Хао Лань,chen-khao-lan
Инь Чжэн,in-chzhen
Лю Юй Нин,liu-iui-nin
Чэнь Шу Цзюнь,chen-shu-tsziun
Уильям Чань,uiliam-chan
Пэк Джу Хо,pek-dzhu-kho
Юй И Цзе,iui-i-tsze
Цзюй Цзин И,tsziui-tszin-i
Тан Сяо Тянь,tan-siao-tian
Го Цзя Юй,go-tszia-iui
Чжан Юй Ци,chzhan-iui-tsi
Гао Юнь Сян,gao-iun-sian
Ла Му Ян Цзы,la-mu-ian-tszy
Ро Ун,ro-un
Ян Е Мин,ian-e-min
Флюк Кан Кантатавон,fliuk-kan-kantatavon
Ли Цзю Линь,li-tsziu-lin
Хван Сон Хи,khvan-son-khi
Мацуяма Кэнъити,matsuiama-keniti
Тянь Си Вэй,tian-si-vei
Пэ Сюзи,pe-siuzi
Ню Цзюнь Фэн,niu-tsziun-fen
Фань Сяо Дун,fan-siao-dun
Ван Мэн Ли,van-men-li
Ли Сэ Он,li-se-on
Ли Кван Су,li-kvan-su
